id	title	description	link	image_link	availability	price	brand	condition	google_product_category	product_type	identifier_exists	excluded_destination
chimichurri-argentino	Chimichurri Argentino	Una mezcla aromática de perfil fresco y sabroso, con el orégano como protagonista y un fondo de ajo, perejil y ají. El pimentón ahumado aporta profundidad y un delicado matiz tostado, creando un sazonador equilibrado, herbáceo y lleno de carácter.	https://arcanoespecias.com/blends/chimichurri-argentino/	https://arcanoespecias.com/img/chimichurri-argentino.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
asado-pampeano	Asado Pampeano	Un sazonador de perfil robusto y aromático, con la pimienta negra como protagonista y un fondo de ajo, comino y paprika. Aporta notas cálidas, ligeramente dulces y especiadas, creando un sabor profundo y contundente que hace lucir las preparaciones más sencillas.	https://arcanoespecias.com/blends/asado-pampeano/	https://arcanoespecias.com/img/asado-pampeano.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
patagonico-ahumado	Patagónico Ahumado	Un sazonador de carácter profundo y ahumado, con el pimentón ahumado como nota principal y un fondo de ajo y pimienta negra. El romero y el laurel aportan un perfil herbal, creando una mezcla intensa, cálida y muy aromática.	https://arcanoespecias.com/blends/patagonico-ahumado/	https://arcanoespecias.com/img/patagonico-ahumado.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
gaucho-picante	Gaucho Picante	Un sazonador intenso y directo, con el ají como protagonista y un fondo de ajo, orégano y pimienta negra. Su perfil combina picante, notas herbales y un toque tostado que aporta fuerza y carácter, ideal para quienes buscan sabores marcados y con personalidad.	https://arcanoespecias.com/blends/gaucho-picante/	https://arcanoespecias.com/img/gaucho-picante.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
adobo-colombiano	Adobo Colombiano	Una mezcla de especias con alma de cocina casera, donde el comino aporta profundidad y el achiote un color cálido y un sabor redondo. El ajo, la pimienta y las notas de laurel completan un perfil intenso, sabroso y muy equilibrado. Un sazonador gourmet pensado para realzar el carácter de cada preparación.	https://arcanoespecias.com/blends/adobo-colombiano/	https://arcanoespecias.com/img/adobo-colombiano.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
caribe-costeno	Caribe Costeño	Una mezcla de especias fresca y sabrosa, con ajo y pimienta blanca como base, acompañados por notas cítricas de limón y un toque herbal de tomillo y orégano. El resultado es un perfil equilibrado, limpio y vibrante, con toda la personalidad de los sabores del Caribe.	https://arcanoespecias.com/blends/caribe-costeno/	https://arcanoespecias.com/img/caribe-costeno.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
aji-andino	Ají Andino	Una mezcla de especias con carácter, donde el ají entrega un picante progresivo y el comino suma profundidad y calidez. El resultado es un perfil intenso, aromático y sabroso, con el equilibrio justo para quienes disfrutan de sabores marcados y con personalidad.	https://arcanoespecias.com/blends/aji-andino/	https://arcanoespecias.com/img/aji-andino.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
inca-grill	Inca Grill	Un sazonador de perfil cálido y especiado, con ajo y comino como base y un toque de pimienta blanca que aporta profundidad. El orégano y el pimentón ahumado completan una mezcla sabrosa, aromática y con un delicado carácter tostado.	https://arcanoespecias.com/blends/inca-grill/	https://arcanoespecias.com/img/inca-grill.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
cajun-lousiana	Cajún Lousiana	Una mezcla de especias con espíritu sureño, donde la paprika aporta cuerpo y el ají aparece con un picante definido. La pimienta negra, el ajo y el tomillo completan un perfil intenso, aromático y lleno de carácter, con ese toque especiado que distingue la cocina cajún.	https://arcanoespecias.com/blends/cajun-lousiana/	https://arcanoespecias.com/img/cajun-lousiana.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
bbq-kansas	BBQ Kansas	Un sazonador con personalidad ahumada y especiada, donde la paprika aporta color y un sabor dulce y cálido que se encuentra con el ajo, la pimienta negra y la mostaza. El pimentón ahumado completa un perfil intenso, redondo y muy característico.	https://arcanoespecias.com/blends/bbq-kansas/	https://arcanoespecias.com/img/bbq-kansas.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
herbes-de-provence	Herbes de Provence	Una mezcla de hierbas aromáticas de perfil fresco y elegante, donde el tomillo y el romero aportan intensidad y carácter mediterráneo. El orégano, la albahaca y la mejorana equilibran el conjunto con notas verdes, florales y ligeramente dulces.	https://arcanoespecias.com/blends/herbes-de-provence/	https://arcanoespecias.com/img/herbes-de-provence.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
garam-masala-clasico	Garam Masala Clásico	Una mezcla de especias cálida y profundamente aromática, donde el comino y el cardamomo aportan el carácter principal. La canela, el clavo y la pimienta negra suman notas dulces, intensas y ligeramente picantes. Un clásico especiado, complejo y elegante.	https://arcanoespecias.com/blends/garam-masala-clasico/	https://arcanoespecias.com/img/garam-masala-clasico.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
tandoori-premium	Tandoori Premium	Una mezcla de especias de intenso color y aroma, donde la paprika y la cúrcuma aportan carácter, profundidad y un tono cálido. El comino, el ajo y el jengibre completan un perfil especiado, aromático y ligeramente terroso, con gran presencia de sabor.	https://arcanoespecias.com/blends/tandoori-premium/	https://arcanoespecias.com/img/tandoori-premium.jpg	out of stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
ras-el-hanout	Ras el Hanout	Una mezcla de especias de perfil cálido, aromático y sofisticado, donde el comino y la canela marcan el carácter. El cardamomo y la cúrcuma aportan profundidad y un matiz exótico, mientras la pimienta negra cierra con una intensidad elegante.	https://arcanoespecias.com/blends/ras-el-hanout/	https://arcanoespecias.com/img/ras-el-hanout.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
shawarma	Shawarma	Una mezcla de especias aromática y envolvente, donde el pimentón ahumado aporta cuerpo y un delicado toque tostado. La pimienta blanca, la canela y el cardamomo crean un fondo cálido y especiado, con el carácter de las cocinas del Mediterráneo oriental.	https://arcanoespecias.com/blends/shawarma/	https://arcanoespecias.com/img/shawarma.jpg	out of stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
zaatar	Za'atar	Una mezcla herbal y tostada de inspiración levantina, donde el orégano y el tomillo aportan frescura y carácter. El sésamo suma notas tostadas y textura aromática, mientras el sumac introduce un matiz cítrico y ligeramente ácido. Un perfil fresco, sabroso y distintivo.	https://arcanoespecias.com/blends/zaatar/	https://arcanoespecias.com/img/zaatar.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
baharat	Baharat	Una mezcla de especias de tradición árabe, cálida y profundamente aromática. La pimienta negra y el comino marcan el carácter, mientras la canela y el clavo aportan un fondo sutilmente dulce y especiado. Un perfil complejo, elegante y lleno de personalidad.	https://arcanoespecias.com/blends/baharat/	https://arcanoespecias.com/img/baharat.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
italiano-clasico	Italiano Clásico	Una mezcla de hierbas mediterráneas donde la albahaca y el orégano marcan el carácter, acompañados por ajo, tomillo y romero. Su aroma es verde, fresco y profundamente gastronómico, con un equilibrio que aporta sabor sin perder la naturalidad de las hierbas.	https://arcanoespecias.com/blends/italiano-clasico/	https://arcanoespecias.com/img/italiano-clasico.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
clasica-napoletana	Clásica Napoletana	Una mezcla de hierbas y especias de inspiración italiana, con orégano y albahaca como protagonistas. El ajo, la cebolla y el tomillo aportan profundidad y un aroma mediterráneo que recuerda a preparaciones con tomate, hierbas frescas y masa recién horneada.	https://arcanoespecias.com/blends/clasica-napoletana/	https://arcanoespecias.com/img/clasica-napoletana.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
chinese-five	Chinese Five	Una mezcla de especias de aroma profundo y envolvente, donde el anís y la canela aportan un carácter cálido y ligeramente dulce. El hinojo, el clavo y la pimienta de Sichuan completan un perfil complejo, especiado y exótico, con matices que evolucionan en cada bocado.	https://arcanoespecias.com/blends/chinese-five/	https://arcanoespecias.com/img/chinese-five.jpg	out of stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
tokyo-yakitori	Tokyo Yakitori	Una mezcla de perfil tostado, aromático y ligeramente especiado, donde el sésamo aporta profundidad y textura. El jengibre y el ajo suman intensidad, mientras la pimienta blanca y el alga nori introducen notas limpias, marinas y umami.	https://arcanoespecias.com/blends/tokyo-yakitori/	https://arcanoespecias.com/img/tokyo-yakitori.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
korean-bbq	Korean BBQ	Una mezcla de especias de perfil intenso y umami, donde el ajo y el pimentón ahumado se encuentran con el jengibre y el ají. La pimienta negra y el sésamo aportan profundidad y textura aromática, creando un sazonador potente, tostado y ligeramente picante.	https://arcanoespecias.com/blends/korean-bbq/	https://arcanoespecias.com/img/korean-bbq.webp	out of stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
bangkok-curry	Bangkok Curry	Una mezcla de especias vibrante y aromática, protagonizada por la cúrcuma y el jengibre. El cilantro y el comino aportan profundidad, mientras la pimienta blanca suma un final especiado y elegante. Su perfil es cálido, fresco y exótico, con el carácter de un curry lleno de matices.	https://arcanoespecias.com/blends/bangkok-curry/	https://arcanoespecias.com/img/bangkok-curry.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
balkan-grill	Balkan Grill	Una mezcla de especias de carácter intenso y aromático, donde el ajo se une al pimentón ahumado para crear profundidad y una agradable sensación de parrilla. Las notas herbales de orégano y tomillo equilibran el conjunto, dando como resultado un sabor cálido, sabroso y envolvente.	https://arcanoespecias.com/blends/balkan-grill/	https://arcanoespecias.com/img/balkan-grill.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
nordic-fish	Nordic Fish	Una mezcla aromática de perfil fresco y limpio, protagonizada por el eneldo y acompañada por pimienta blanca, limón e hinojo. Sus notas cítricas, herbales y ligeramente anisadas realzan el sabor con elegancia, especialmente en preparaciones donde la frescura es protagonista.	https://arcanoespecias.com/blends/nordic-fish/	https://arcanoespecias.com/img/zaatar.webp	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
smokehouse-classic	Smokehouse Classic	Un sazonador de perfil ahumado y profundo, con pimentón ahumado, ajo y pimienta blanca como base. La mostaza y el comino aportan intensidad y un toque especiado, creando una mezcla robusta, tostada y de gran carácter.	https://arcanoespecias.com/blends/smokehouse-classic/	https://arcanoespecias.com/img/smokehouse-classic.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
bourbon-bbq	Bourbon BBQ	Un sazonador de perfil profundo y ahumado, donde el pimentón ahumado aporta intensidad y notas tostadas, acompañado por mostaza, ajo y un sutil fondo cálido de canela. Una mezcla con carácter, pensada para sabores intensos, redondos y ligeramente dulces.	https://arcanoespecias.com/blends/bourbon-bbq/	https://arcanoespecias.com/img/bourbon-bbq.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
caribbean-citrus	Caribbean Citrus	Una mezcla luminosa y refrescante, con el limón como protagonista y un fondo delicado de pimienta blanca y tomillo. Su aroma cítrico se equilibra con notas herbales y especiadas, creando un perfil limpio, vibrante y elegante que aporta frescura al sabor.	https://arcanoespecias.com/blends/caribbean-citrus/	https://arcanoespecias.com/img/caribbean-citrus.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
amazonia-verde	Amazonia Verde	Una mezcla fresca y aromática, marcada por el carácter cítrico del limón y la calidez del jengibre. La pimienta blanca aporta un toque elegante y ligeramente especiado, mientras el ajo redondea el sabor. Una selección gourmet de perfil limpio, vibrante y natural.	https://arcanoespecias.com/blends/amazonia-verde/	https://arcanoespecias.com/img/amazonia-verde.jpg	in stock	15000 COP	Arcano Especias	new	Food, Beverages & Tobacco > Food Items > Cooking & Baking Ingredients > Seasonings & Spices	Comidas	FALSE	
